"Node","X","Y","Z","Displacement in X","Displacement in Y","Displacement in Z","Displacement Magnitude"
1,0,0,0,0,0,0,0
2,0,0,25,0,0,0,0
3,25,0,25,0,0,0,0
4,25,0,0,0,0,0,0
5,0,10,0,-3.46290975852183E-07,-4.73342458678832E-07,-3.67231288054886E-07,6.91974957690833E-07
6,0,10,25,-9.57100532236248E-08,-1.16161765428093E-07,-3.92266844908848E-08,1.55540036040847E-07
7,25,10,25,-2.57608816562825E-07,4.32366363255483E-07,-2.61778297987522E-07,5.67301376468377E-07
8,25,10,0,5.1639207006494E-09,-1.01086522004036E-08,-3.1173140920803E-08,3.31755277453059E-08
9,10,30,5,-1.42838575411818E-06,-8.62769340364691E-07,-1.40790222716409E-06,2.18331066925774E-06
10,10,30,20,-1.6499423105699E-06,-6.95808691772771E-08,-1.34602740339576E-06,2.13047902976221E-06
11,20,30,5,-1.40611662757141E-06,-1.5381093390793E-07,-1.14286593469072E-06,1.81850606773773E-06
12,20,30,20,-1.65476236834567E-06,7.55189721905355E-07,-1.10193641690114E-06,2.12669082817823E-06
13,10,80,5,-5.29228829428162E-06,-9.60104447234106E-07,-5.47610380012812E-06,7.67579499264842E-06
14,10,80,20,-6.92244392884113E-06,-1.51014299918572E-07,-5.47425977069056E-06,8.82669560502289E-06
15,20,80,20,-6.89094504751207E-06,2.78436612357159E-07,-4.32665874653379E-06,8.14141428155387E-06
16,20,80,5,-5.2699978687995E-06,-5.74616160063821E-07,-4.35321974836423E-06,6.85956146164651E-06
17,0,0,250,0,0,0,0
18,0,0,275,0,0,0,0
19,25,0,275,0,0,0,0
20,25,0,250,0,0,0,0
21,0,10,250,-3.77999680256409E-06,-2.23345268884906E-06,-1.26614716144471E-06,4.56944366144899E-06
22,0,10,275,-3.62630243616731E-06,-1.97116581430673E-06,8.52712014853002E-07,4.21457967136927E-06
23,25,10,275,-4.25442859665545E-06,2.23246073059589E-06,-1.13113085904804E-06,4.93593968945967E-06
24,25,10,250,-4.01368522951053E-06,1.86676868206224E-06,8.38788385557749E-07,4.5053368785992E-06
25,10,30,255,-1.45610032201898E-05,-1.89643073502639E-06,-1.32746484226961E-06,1.47438606619363E-05
26,10,30,270,-1.48692496053117E-05,-1.17736628139639E-06,-7.94856469300685E-07,1.49369532366015E-05
27,20,30,255,-1.52880079455074E-05,2.56483430849426E-06,-6.00399253272819E-07,1.55132859586632E-05
28,20,30,270,-1.56778205919684E-05,3.33989464062049E-06,-1.09543428967741E-06,1.60670137551256E-05
29,10,80,255,-3.54237203901939E-05,8.52670156873839E-09,-5.55930069456874E-06,3.58572986043276E-05
30,10,80,270,-3.71630055907799E-05,7.14704945597274E-07,-5.60536589431017E-06,3.7590157149295E-05
31,20,80,270,-3.70557696273649E-05,8.83246028782663E-07,-4.43040653227241E-06,3.7330131104309E-05
32,20,80,255,-3.53103906688966E-05,3.61766795037461E-07,-4.47981939397735E-06,3.5595271402347E-05
33,125,0,0,0,0,0,0
34,125,0,25,0,0,0,0
35,100,0,25,0,0,0,0
36,100,0,0,0,0,0,0
37,125,10,0,-3.68965637346285E-07,2.82732636111482E-07,3.60654573044703E-07,5.88340977769656E-07
38,125,10,25,-8.91009756407389E-08,5.99922804567277E-08,4.06766299599492E-08,1.14859243421802E-07
39,100,10,25,-1.05088634070092E-07,-2.88601918053992E-07,2.54989822993245E-07,3.99192306971574E-07
40,100,10,0,2.33634062099143E-07,1.46683893148237E-07,1.67361229659046E-07,3.22662084346856E-07
41,115,30,5,-9.10213450636192E-07,1.34690478025784E-06,1.43909675997317E-06,2.17109200573485E-06
42,115,30,20,-1.15073590650452E-06,2.03417483552102E-07,1.44001537438389E-06,1.85451235574084E-06
43,105,30,5,-1.01744645872722E-06,6.70976760283479E-07,1.35676761881417E-06,1.8237942539332E-06
44,105,30,20,-1.23273818549612E-06,-5.44070140449233E-07,1.34788113760917E-06,1.90589593441807E-06
45,115,80,5,-5.60550311467396E-06,2.06008643284571E-06,6.64107642022972E-06,8.93137824183623E-06
46,115,80,20,-7.24691629526043E-06,1.11265080967675E-06,6.62259092743652E-06,9.88000496998609E-06
47,105,80,20,-7.12094705301348E-06,-4.08134127113984E-07,5.39838819300627E-06,8.94522528950087E-06
48,105,80,5,-5.51119628345133E-06,4.18417125065698E-07,5.40731265160549E-06,7.73223043354819E-06
49,125,0,250,0,0,0,0
50,125,0,275,0,0,0,0
51,100,0,275,0,0,0,0
52,100,0,250,0,0,0,0
53,125,10,250,-1.01823274287929E-06,1.00578931787082E-06,6.98660043659388E-07,1.59265059797203E-06
54,125,10,275,-8.09644059995323E-07,6.9946623443831E-07,-2.54121942364511E-07,1.09970654203571E-06
55,100,10,275,-8.91371711560597E-07,-9.75493221571978E-07,5.98600492248054E-07,1.45067332739765E-06
56,100,10,250,-6.46731438857683E-07,-5.58270838002369E-07,-2.27789265561208E-07,8.84203501506136E-07
57,115,30,255,-4.41007354203834E-06,2.09660251134355E-06,1.31372177228316E-06,5.05671391634226E-06
58,115,30,270,-4.62859628363157E-06,1.24190005393816E-06,1.03480808851061E-06,4.90275912939506E-06
59,105,30,255,-4.38993466503743E-06,-1.43586967147809E-06,8.89050160606117E-07,4.70357930355614E-06
60,105,30,270,-4.69593323782809E-06,-2.3211196562345E-06,1.15533349238622E-06,5.36415705505778E-06
61,115,80,255,-3.60704882911849E-05,2.79425451192754E-06,6.31104087932872E-06,3.67248855794337E-05
62,115,80,270,-3.76758676305607E-05,1.4941286178028E-06,6.60776591819279E-06,3.8280099170087E-05
