"Node","X","Y","Z","Displacement in X","Displacement in Y","Displacement in Z","Displacement Magnitude"
1,0,0,0,0,0,0,0
2,0,0,25,0,0,0,0
3,25,0,25,0,0,0,0
4,25,0,0,0,0,0,0
5,0,10,0,-3.42088771746706E-07,-4.67372460407868E-07,-3.61925567270672E-07,6.82972811133116E-07
6,0,10,25,-9.72384191708124E-08,-1.18537517392416E-07,-3.52001721768016E-08,1.57307041526031E-07
7,25,10,25,-2.54219190616089E-07,4.25742339961201E-07,-2.57032884037379E-07,5.58524699892235E-07
8,25,10,0,2.50469465811933E-09,-6.54818325756261E-09,-2.88486238855969E-08,2.96883024000643E-08
9,10,30,5,-1.42088429985145E-06,-8.50232691121223E-07,-1.37611433022333E-06,2.15302077845561E-06
10,10,30,20,-1.63837946398421E-06,-7.67308981820274E-08,-1.31557498574987E-06,2.10259659513464E-06
11,20,30,5,-1.39884982824689E-06,-1.45635583797272E-07,-1.11711906842503E-06,1.79609175107875E-06
12,20,30,20,-1.64218514106667E-06,7.41448084631383E-07,-1.07679079404223E-06,2.09904638202156E-06
13,10,80,5,-5.26306009025963E-06,-9.4453609869337E-07,-5.34296611578911E-06,7.55904999784292E-06
14,10,80,20,-6.85692134621522E-06,-1.58883148266503E-07,-5.34171239356571E-06,8.69347488053877E-06
15,20,80,20,-6.8252617979648E-06,2.6273301660826E-07,-4.22057422433521E-06,8.02910169520205E-06
16,20,80,5,-5.24084693657452E-06,-5.6535277209677E-07,-4.24552885861802E-06,6.7683539844543E-06
17,0,0,250,0,0,0,0
18,0,0,275,0,0,0,0
19,25,0,275,0,0,0,0
20,25,0,250,0,0,0,0
21,0,10,250,-3.77997925177841E-06,-2.22613962780684E-06,-1.26236515502599E-06,4.56481177826546E-06
22,0,10,275,-3.61307617829197E-06,-1.9548625165163E-06,8.4467797996834E-07,4.19395849031255E-06
23,25,10,275,-4.25230353691901E-06,2.21375412092641E-06,-1.1261113084547E-06,4.92452224657805E-06
24,25,10,250,-4.01979364374537E-06,1.85573126537545E-06,8.27616228271111E-07,4.50415675669546E-06
25,10,30,255,-1.45484139484917E-05,-1.84714587291104E-06,-1.34126380745922E-06,1.47264145294664E-05
26,10,30,270,-1.48013270168663E-05,-1.14577575256174E-06,-8.17814455452096E-07,1.48681170300385E-05
27,20,30,255,-1.5273066505075E-05,2.50587337172519E-06,-6.1324839755451E-07,1.54894168844624E-05
28,20,30,270,-1.55965238959388E-05,3.27983365448569E-06,-1.09494405745957E-06,1.59752235955135E-05
29,10,80,255,-3.46718069588032E-05,-5.67378818883063E-09,-5.41043508515466E-06,3.50914097435692E-05
30,10,80,270,-3.63528403769071E-05,6.64905980777959E-07,-5.45010071152421E-06,3.67651288750348E-05
31,20,80,270,-3.62580064497668E-05,8.93654092070024E-07,-4.31667094752452E-06,3.65249955156302E-05
32,20,80,255,-3.45804553248074E-05,3.76725445592254E-07,-4.35765523185333E-06,3.48559746908913E-05
33,125,0,0,0,0,0,0
34,125,0,25,0,0,0,0
35,100,0,25,0,0,0,0
36,100,0,0,0,0,0,0
37,125,10,0,-3.66642099020951E-07,2.8411328387739E-07,3.58117983706096E-07,5.85999383194047E-07
38,125,10,25,-9.22617940302217E-08,6.00419692897486E-08,4.07538851392909E-08,1.17380389622001E-07
39,100,10,25,-1.08539110494799E-07,-2.8742593939835E-07,2.5392710005467E-07,3.98589238801301E-07
40,100,10,0,2.3145196902281E-07,1.42844893807834E-07,1.64516849921905E-07,3.17868638842736E-07
41,115,30,5,-9.19357650341147E-07,1.30806681923804E-06,1.44471603853128E-06,2.15486930574033E-06
42,115,30,20,-1.15798113853747E-06,1.96365207671747E-07,1.42095574133948E-06,1.84352782209495E-06
43,105,30,5,-1.00504446964424E-06,6.53042368943003E-07,1.33842698146542E-06,1.79665397511925E-06
44,105,30,20,-1.23917394335984E-06,-5.37797893244137E-07,1.3299753646447E-06,1.89568275469331E-06
45,115,80,5,-5.57996365365397E-06,2.0109461419841E-06,6.49224095952773E-06,8.79369611930215E-06
46,115,80,20,-7.17761876938302E-06,1.0875619874993E-06,6.4690709502779E-06,9.7236763230263E-06
47,105,80,20,-7.05481920546286E-06,-4.10816681374633E-07,5.28296177494706E-06,8.82320403725399E-06
48,105,80,5,-5.48475940307918E-06,4.00551741440513E-07,5.28795401223711E-06,7.6292519320554E-06
49,125,0,250,0,0,0,0
50,125,0,275,0,0,0,0
51,100,0,275,0,0,0,0
52,100,0,250,0,0,0,0
53,125,10,250,-1.01826087422653E-06,1.00069935747351E-06,6.96808414745409E-07,1.58864608358453E-06
54,125,10,275,-8.12579745785984E-07,6.95938672434873E-07,-2.50672361144301E-07,1.09884171366657E-06
55,100,10,275,-8.8963140360774E-07,-9.6437806970014E-07,5.92638921126722E-07,1.43968398839394E-06
56,100,10,250,-6.47329085565776E-07,-5.53213775566073E-07,-2.24934689690817E-07,8.80724724940658E-07
57,115,30,255,-4.39485519378729E-06,2.06770653205242E-06,1.31116736417165E-06,5.03083714046879E-06
58,115,30,270,-4.61330189242633E-06,1.23651980247694E-06,1.03665404924643E-06,4.8873497102623E-06
59,105,30,255,-4.37720966478356E-06,-1.40254250528917E-06,8.81891653597926E-07,4.6802588408445E-06
60,105,30,270,-4.68293012395744E-06,-2.28018266408586E-06,1.13940994134619E-06,5.33172791334144E-06
61,115,80,255,-3.52707549277533E-05,2.68459505060423E-06,6.20083218937164E-06,3.59121640060873E-05
62,115,80,270,-3.68121158909844E-05,1.52504739914637E-06,6.43546649645397E-06,3.74015089931929E-05
