"Node","X","Y","Z","Displacement in X","Displacement in Y","Displacement in Z","Displacement Magnitude"
1,0,0,0,0,0,0,0
2,0,0,25,0,0,0,0
3,25,0,25,0,0,0,0
4,25,0,0,0,0,0,0
5,0,10,0,-3.30666334794992E-07,-4.56973547011751E-07,-3.49801018964723E-07,6.63721176778332E-07
6,0,10,25,-9.73269425438265E-08,-1.23318525455549E-07,-2.88019746030685E-08,1.5971708176177E-07
7,25,10,25,-2.38834142226993E-07,4.11192786659049E-07,-2.50335665239392E-07,5.37391105792222E-07
8,25,10,0,1.89489326083095E-09,4.01867364595695E-09,-2.2710974753258E-08,2.31414937414544E-08
9,10,30,5,-1.41700728691863E-06,-8.26502351515254E-07,-1.30991607184709E-06,2.09926079931105E-06
10,10,30,20,-1.60558688107146E-06,-9.09630463572301E-08,-1.24989967380038E-06,2.0367701645099E-06
11,20,30,5,-1.39513000155436E-06,-1.24706908102024E-07,-1.05539949669635E-06,1.75379805901146E-06
12,20,30,20,-1.61095210137243E-06,7.14423433512539E-07,-1.01726247562024E-06,2.03479494288075E-06
13,10,80,5,-5.27177267196941E-06,-9.31167933920031E-07,-5.06296617067681E-06,7.36833001917681E-06
14,10,80,20,-6.74258399739651E-06,-1.78741618335502E-07,-5.06696064828126E-06,8.43614116402183E-06
15,20,80,20,-6.72003202202636E-06,2.5819645190685E-07,-4.01180704487118E-06,7.8307146257615E-06
16,20,80,5,-5.24612721970283E-06,-5.29946571565455E-07,-4.03695825769138E-06,6.64076246739511E-06
17,0,0,250,0,0,0,0
18,0,0,275,0,0,0,0
19,25,0,275,0,0,0,0
20,25,0,250,0,0,0,0
21,0,10,250,-3.76325955119742E-06,-2.18502269385187E-06,-1.23248246232975E-06,4.52277123479363E-06
22,0,10,275,-3.59684727843903E-06,-1.91515376625098E-06,8.10431042630819E-07,4.15474701608404E-06
23,25,10,275,-4.20942453387619E-06,2.16111607514745E-06,-1.11009907176666E-06,4.86024665483108E-06
24,25,10,250,-3.98312164664924E-06,1.8052420237918E-06,7.88211394894229E-07,4.44358346602275E-06
25,10,30,255,-1.44169450108266E-05,-1.68666070180414E-06,-1.34315104057514E-06,1.45772830968602E-05
26,10,30,270,-1.46555243816135E-05,-9.9545226243693E-07,-8.10991364746338E-07,1.47116629617645E-05
27,20,30,255,-1.51548951617993E-05,2.28180857398067E-06,-6.44453951517384E-07,1.53392574340822E-05
28,20,30,270,-1.54683171724954E-05,3.03360544981232E-06,-1.09911753347012E-06,1.58012549351761E-05
29,10,80,255,-3.2808311748943E-05,-1.68648774063033E-07,-5.09104004238942E-06,3.32013923042098E-05
30,10,80,270,-3.44130375835768E-05,4.38779233761926E-07,-5.13597866922018E-06,3.47969533125435E-05
31,20,80,270,-3.43314806252693E-05,9.63979144597669E-07,-4.07961274948408E-06,3.45864577240893E-05
32,20,80,255,-3.27376840104436E-05,4.15222257302122E-07,-4.10630407167922E-06,3.29968194985472E-05
33,125,0,0,0,0,0,0
34,125,0,25,0,0,0,0
35,100,0,25,0,0,0,0
36,100,0,0,0,0,0,0
37,125,10,0,-3.74753287408481E-07,3.05181249647703E-07,3.67823844320086E-07,6.07346690128796E-07
38,125,10,25,-9.16108585376251E-08,4.80717335682327E-08,5.31771610489471E-08,1.16323907377123E-07
39,100,10,25,-1.06973560592552E-07,-2.75767171334426E-07,2.43403103986298E-07,3.83061282932383E-07
40,100,10,0,2.24809304728939E-07,1.19742926314161E-07,1.48082577683649E-07,2.94628650522011E-07
41,115,30,5,-9.40621707271124E-07,1.19802734227115E-06,1.45574564349911E-06,2.10694899975903E-06
42,115,30,20,-1.14345699022426E-06,1.79352300366927E-07,1.3904309979214E-06,1.80913224948325E-06
43,105,30,5,-9.84184321569842E-07,5.93171379765061E-07,1.24509163420126E-06,1.69432117443956E-06
44,105,30,20,-1.22463806697644E-06,-5.21030373442584E-07,1.24112089819591E-06,1.81977804390429E-06
45,115,80,5,-5.59266076587509E-06,1.90800645806074E-06,6.01873084002353E-06,8.43465849995187E-06
46,115,80,20,-7.04246718264899E-06,1.06790200493046E-06,6.00182626334436E-06,9.31443381028566E-06
47,105,80,20,-6.94747592283201E-06,-4.6136619796672E-07,4.90031670613327E-06,8.51430468607775E-06
48,105,80,5,-5.49259917277291E-06,3.32751117924026E-07,4.90910250208996E-06,7.37418852181386E-06
49,125,0,250,0,0,0,0
50,125,0,275,0,0,0,0
51,100,0,275,0,0,0,0
52,100,0,250,0,0,0,0
53,125,10,250,-1.02080242463091E-06,9.87050508658284E-07,6.87230258285397E-07,1.57752709158288E-06
54,125,10,275,-8.22842061294451E-07,6.91933221673364E-07,-2.48481009481721E-07,1.10344164012585E-06
55,100,10,275,-8.88107111188048E-07,-9.36228814720097E-07,5.7884487992019E-07,1.41432670534951E-06
56,100,10,250,-6.55352432580511E-07,-5.42232383712304E-07,-2.16447027911907E-07,8.77697034703558E-07
57,115,30,255,-4.37089211487168E-06,2.00713804079472E-06,1.27983884836796E-06,4.97707629763142E-06
58,115,30,270,-4.58062134489854E-06,1.2263811361789E-06,1.01298905025523E-06,4.84894312324372E-06
59,105,30,255,-4.35549829677658E-06,-1.33530461913013E-06,8.61755717871632E-07,4.63638078207328E-06
60,105,30,270,-4.6469805090501E-06,-2.16889245387461E-06,1.10268226625786E-06,5.24541995537872E-06
61,115,80,255,-3.31066194673277E-05,2.42902075354844E-06,5.69705715119701E-06,3.36809271630045E-05
62,115,80,270,-3.46190567872704E-05,1.51707055419828E-06,5.90301952501468E-06,3.51514755795453E-05
