"Node","X","Y","Z","Displacement in X","Displacement in Y","Displacement in Z","Displacement Magnitude"
1,0,0,0,0,0,0,0
2,0,0,25,0,0,0,0
3,25,0,25,0,0,0,0
4,25,0,0,0,0,0,0
5,0,10,0,-3.46379019376339E-07,-4.73507576940053E-07,-3.67295748636279E-07,6.92166177626471E-07
6,0,10,25,-9.59437846394447E-08,-1.16496467578663E-07,-3.90300806249599E-08,1.55884521241968E-07
7,25,10,25,-2.57597076341874E-07,4.32486445387168E-07,-2.61825121208898E-07,5.67409176238421E-07
8,25,10,0,5.07729436990038E-09,-9.71526737675502E-09,-3.09009980636632E-08,3.27877571610346E-08
9,10,30,5,-1.42977845005295E-06,-8.62832061787199E-07,-1.40739275373431E-06,2.1839184843642E-06
10,10,30,20,-1.65128121549107E-06,-7.02562458085626E-08,-1.3454977793329E-06,2.13120385390477E-06
11,20,30,5,-1.40756609779829E-06,-1.52950639925194E-07,-1.1421665287888E-06,1.81911533372959E-06
12,20,30,20,-1.65609072101583E-06,7.55461166591011E-07,-1.10130562392356E-06,2.12749433083791E-06
13,10,80,5,-5.30107073814558E-06,-9.60388749154979E-07,-5.47208884018462E-06,7.67902687814022E-06
14,10,80,20,-6.93125490776103E-06,-1.52401117450151E-07,-5.4702476632036E-06,8.83114546328764E-06
15,20,80,20,-6.89967276494814E-06,2.7909127547841E-07,-4.3224242451827E-06,8.14657765928482E-06
16,20,80,5,-5.27876201194264E-06,-5.72870821650839E-07,-4.34918068269225E-06,6.86359104024497E-06
17,0,0,250,0,0,0,0
18,0,0,275,0,0,0,0
19,25,0,275,0,0,0,0
20,25,0,250,0,0,0,0
21,0,10,250,-3.78008234564544E-06,-2.23346367012534E-06,-1.26589433338062E-06,4.56944974465364E-06
22,0,10,275,-3.62687208436466E-06,-1.97174053440082E-06,8.53292960260862E-07,4.21545617073332E-06
23,25,10,275,-4.25459568486451E-06,2.23242142317171E-06,-1.13077565735043E-06,4.93598454612249E-06
24,25,10,250,-4.01411193961891E-06,1.86740606004014E-06,8.39465419216859E-07,4.50610721653698E-06
25,10,30,255,-1.45626172374452E-05,-1.89641042082945E-06,-1.32528552408903E-06,1.47452560170695E-05
26,10,30,270,-1.48709813189965E-05,-1.17837044233171E-06,-7.92590479162278E-07,1.49386358800582E-05
27,20,30,255,-1.52896663365233E-05,2.56608929093848E-06,-5.98036548948407E-07,1.55150365338004E-05
28,20,30,270,-1.5679551618046E-05,3.34009346436184E-06,-1.09316119177865E-06,1.60685893806785E-05
29,10,80,255,-3.54355932843167E-05,6.72273892683008E-09,-5.55733721287689E-06,3.58687233325129E-05
30,10,80,270,-3.71754411494452E-05,7.16426929102532E-07,-5.60481515980467E-06,3.76024021197607E-05
31,20,80,270,-3.70676879927793E-05,8.85559767056396E-07,-4.42950796855543E-06,3.73419101021166E-05
32,20,80,255,-3.53221169501634E-05,3.6063841738125E-07,-4.47715349496152E-06,3.56065571113883E-05
33,125,0,0,0,0,0,0
34,125,0,25,0,0,0,0
35,100,0,25,0,0,0,0
36,100,0,0,0,0,0,0
37,125,10,0,-3.69270302254519E-07,2.82333454934462E-07,3.60656035657875E-07,5.88341322668082E-07
38,125,10,25,-8.78900080707893E-08,5.95046588570567E-08,4.07480325432859E-08,1.13691952663884E-07
39,100,10,25,-1.02470446734934E-07,-2.86990364178835E-07,2.53489045845465E-07,3.96384104057165E-07
40,100,10,0,2.32674690178298E-07,1.4603882261625E-07,1.66602472179355E-07,3.21280613945162E-07
41,115,30,5,-9.09639219633164E-07,1.35647842501086E-06,1.43283577835961E-06,2.17267015332796E-06
42,115,30,20,-1.14367716850354E-06,2.08157142032897E-07,1.44133540897533E-06,1.85169506741841E-06
43,105,30,5,-1.02458799921472E-06,6.73622944360758E-07,1.35222106266619E-06,1.82539043539243E-06
44,105,30,20,-1.22558153547069E-06,-5.42613600836395E-07,1.34371782199281E-06,1.89790863980341E-06
45,115,80,5,-5.6137372629892E-06,2.07507837191818E-06,6.64788179893141E-06,8.94507287393678E-06
46,115,80,20,-7.25639491104445E-06,1.12366182890548E-06,6.62889331682669E-06,9.89242688204671E-06
47,105,80,20,-7.13005174191868E-06,-4.06390496973425E-07,5.40439396181375E-06,8.95601837721188E-06
48,105,80,5,-5.51900394033793E-06,4.21035502241735E-07,5.41412832290627E-06,7.74270371927723E-06
49,125,0,250,0,0,0,0
50,125,0,275,0,0,0,0
51,100,0,275,0,0,0,0
52,100,0,250,0,0,0,0
53,125,10,250,-1.01815431854447E-06,1.00579125037807E-06,6.985262534496E-07,1.59254299234469E-06
54,125,10,275,-8.09624015650975E-07,6.99578844872833E-07,-2.54366411502686E-07,1.09981992990361E-06
55,100,10,275,-8.91310852224717E-07,-9.75545803290772E-07,5.98400656542535E-07,1.45058884435333E-06
56,100,10,250,-6.46687192019427E-07,-5.5836378463352E-07,-2.28029163177278E-07,8.84291659788539E-07
57,115,30,255,-4.41008203333021E-06,2.09714154342824E-06,1.31300543087588E-06,5.05675878951963E-06
58,115,30,270,-4.62864037353099E-06,1.24204513130618E-06,1.0340329881044E-06,4.90267396796591E-06
59,105,30,255,-4.38989255558322E-06,-1.43614282657491E-06,8.88350783400892E-07,4.70349125461678E-06
60,105,30,270,-4.69599661793549E-06,-2.32171712393388E-06,1.15475328079018E-06,5.36434616507222E-06
61,115,80,255,-3.60848049386902E-05,2.79943012857655E-06,6.31745430681687E-06,3.67404434571335E-05
62,115,80,270,-3.76911332840729E-05,1.49377590872827E-06,6.61661998270425E-06,3.8296638947808E-05
