"Node","X","Y","Z","Displacement in X","Displacement in Y","Displacement in Z","Displacement Magnitude"
1,0,0,0,0,0,0,0
2,0,0,25,0,0,0,0
3,25,0,25,0,0,0,0
4,25,0,0,0,0,0,0
5,0,10,0,-3.38129930151151E-07,-4.61624461852827E-07,-3.67409288456163E-07,6.80013660663371E-07
6,0,10,25,-5.65351440754029E-08,-6.77498064830808E-08,-7.46291450201227E-08,1.1556715831306E-07
7,25,10,25,-2.41820948121166E-07,4.21947488719462E-07,-2.67265532560087E-07,5.54930553386193E-07
8,25,10,0,3.79589855090134E-08,-6.44211187131978E-08,-7.16379102839865E-08,1.03551703544606E-07
9,10,30,5,-1.25281797409207E-06,-8.6997613189543E-07,-1.5378702598288E-06,2.16597698102768E-06
10,10,30,20,-1.46335490995295E-06,8.1873029869541E-09,-1.4743263850437E-06,2.07728498623795E-06
11,20,30,5,-1.2286038144071E-06,-2.62794753978037E-07,-1.27685131823594E-06,1.79133405716938E-06
12,20,30,20,-1.47174415554328E-06,7.25835444154316E-07,-1.23007851685433E-06,2.05084399918498E-06
13,10,80,5,-4.41669913650172E-06,-9.7010941094545E-07,-5.93652170533972E-06,7.46261572704568E-06
14,10,80,20,-6.01397002953395E-06,-1.07004946207766E-07,-5.93205349187628E-06,8.4479905424383E-06
15,20,80,20,-5.99270058220298E-06,2.4176281308435E-07,-4.80173200951187E-06,7.68293822810631E-06
16,20,80,5,-4.39356186497968E-06,-6.76421659202948E-07,-4.8321469025918E-06,6.56586443742712E-06
17,0,0,250,0,0,0,0
18,0,0,275,0,0,0,0
19,25,0,275,0,0,0,0
20,25,0,250,0,0,0,0
21,0,10,250,-3.78536054970182E-06,-2.23509691700268E-06,-1.27971602991023E-06,4.57845889321319E-06
22,0,10,275,-3.59555166432652E-06,-1.93252542573275E-06,8.20426539382184E-07,4.16362174056042E-06
23,25,10,275,-4.2615963235525E-06,2.23274268822523E-06,-1.1440653334159E-06,4.94522280831344E-06
24,25,10,250,-4.00499546710733E-06,1.83134467372192E-06,8.06461295283849E-07,4.47707402510957E-06
25,10,30,255,-1.45131115879889E-05,-1.87399824196718E-06,-1.45522934723518E-06,1.4705780150314E-05
26,10,30,270,-1.47844723736406E-05,-1.08148130224682E-06,-9.36177503831782E-07,1.48535064376306E-05
27,20,30,255,-1.52342662729957E-05,2.45493362078593E-06,-7.21282359340897E-07,1.5447647594404E-05
28,20,30,270,-1.55841495975035E-05,3.32045079200725E-06,-1.20237548666093E-06,1.59792621528791E-05
29,10,80,255,-3.43735662444115E-05,-4.25346317403885E-08,-6.02764194062922E-06,3.48980849462871E-05
30,10,80,270,-3.61305446404868E-05,7.5471353250933E-07,-6.11053843402896E-06,3.66513919038296E-05
31,20,80,270,-3.60304086457805E-05,9.52701504293685E-07,-4.95637588672126E-06,3.63821886266988E-05
32,20,80,255,-3.42915373993121E-05,2.93703063630728E-07,-4.97941697855456E-06,3.46524226013755E-05
33,125,0,0,0,0,0,0
34,125,0,25,0,0,0,0
35,100,0,25,0,0,0,0
36,100,0,0,0,0,0,0
37,125,10,0,-2.79699688969711E-07,4.17094813322938E-07,3.43829170684759E-07,6.08620158986225E-07
38,125,10,25,6.14525671907425E-09,1.41726851942933E-08,1.13740369632695E-07,1.1478458463549E-07
39,100,10,25,-1.76355235130612E-07,-3.75445769329474E-07,2.51368134394812E-07,4.85022302223828E-07
40,100,10,0,1.08644464580025E-07,1.16415122426313E-07,1.03617729522555E-07,1.89980878734738E-07
41,115,30,5,-9.05613313999917E-07,8.69879758690889E-07,1.58659469565979E-06,2.02339047081126E-06
42,115,30,20,-1.11232469431613E-06,-2.10760907004019E-08,1.50115419100909E-06,1.86846844564441E-06
43,105,30,5,-8.64885525460831E-07,3.11575894944177E-07,1.2863527184888E-06,1.58107869090233E-06
44,105,30,20,-1.10329958211739E-06,-6.78199798185434E-07,1.26713143688822E-06,1.81186285698162E-06
45,115,80,5,-4.76496274720501E-06,1.4840549613925E-06,5.93857523332713E-06,7.75718795135013E-06
46,115,80,20,-6.28611321006543E-06,6.58199409409892E-07,5.95411734310296E-06,8.68331498264033E-06
47,105,80,20,-6.22875703154528E-06,-6.09338418250921E-07,4.76848248539579E-06,7.86810858335773E-06
48,105,80,5,-4.69414467701265E-06,2.6286843598313E-07,4.79688663661175E-06,6.71671165585265E-06
49,125,0,250,0,0,0,0
50,125,0,275,0,0,0,0
51,100,0,275,0,0,0,0
52,100,0,250,0,0,0,0
53,125,10,250,-9.94370140819122E-07,9.80416560001406E-07,6.81070447101674E-07,1.55365554805205E-06
54,125,10,275,-8.05617959841851E-07,6.92658620558468E-07,-2.520933108311E-07,1.09194656426928E-06
55,100,10,275,-8.74035239410638E-07,-9.45013817689547E-07,5.76941601893877E-07,1.41062054690539E-06
56,100,10,250,-6.38861907293091E-07,-5.56108957947459E-07,-2.3283021415741E-07,8.78414263502227E-07
57,115,30,255,-4.32669987023751E-06,2.02085831857422E-06,1.25829249477985E-06,4.93837018795505E-06
58,115,30,270,-4.55417957667723E-06,1.24061967593424E-06,9.84379634503073E-07,4.8216897517119E-06
59,105,30,255,-4.3106631378015E-06,-1.41642794558254E-06,8.22952655680192E-07,4.61143533903696E-06
60,105,30,270,-4.62122975188285E-06,-2.23967502740921E-06,1.07900988045468E-06,5.24749187423921E-06
61,115,80,255,-3.50138276563279E-05,2.68539726507489E-06,5.6634484673378E-06,3.55704109360644E-05
62,115,80,270,-3.65951579633442E-05,1.58656425149243E-06,5.99878647598079E-06,3.71174919905782E-05
