"Node","X","Y","Z","Displacement in X","Displacement in Y","Displacement in Z","Displacement Magnitude"
1,0,0,0,0,0,0,0
2,0,0,25,0,0,0,0
3,25,0,25,0,0,0,0
4,25,0,0,0,0,0,0
5,0,10,0,-3.38121823350389E-07,-4.61609644619718E-07,-3.67384010361749E-07,6.7998591345793E-07
6,0,10,25,-5.6561298514482E-08,-6.77828812203548E-08,-7.45920881675553E-08,1.15575425992611E-07
7,25,10,25,-2.41816762635405E-07,4.2193438280472E-07,-2.67243433014036E-07,5.54908120839293E-07
8,25,10,0,3.79331641893084E-08,-6.43773579972508E-08,-7.16018745948198E-08,1.0349008461496E-07
9,10,30,5,-1.25290110122332E-06,-8.69932892631253E-07,-1.53766604689475E-06,2.16586271007683E-06
10,10,30,20,-1.46341644793665E-06,8.1486414329973E-09,-1.4741360454148E-06,2.07719310148092E-06
11,20,30,5,-1.22868715599219E-06,-2.62719553631584E-07,-1.27667200764513E-06,1.7912523848596E-06
12,20,30,20,-1.47180803883805E-06,7.2582614783287E-07,-1.22991063030252E-06,2.05078586366235E-06
13,10,80,5,-4.41701328014654E-06,-9.7011554164566E-07,-5.93615178301385E-06,7.46250818908173E-06
14,10,80,20,-6.01408962458423E-06,-1.06913952482567E-07,-5.93169828504729E-06,8.44782511363724E-06
15,20,80,20,-5.99282612967297E-06,2.41827230799933E-07,-4.80148976161369E-06,7.68288678563784E-06
16,20,80,5,-4.39387478744581E-06,-6.76417299641764E-07,-4.83189399328299E-06,6.56588726474426E-06
17,0,0,250,0,0,0,0
18,0,0,275,0,0,0,0
19,25,0,275,0,0,0,0
20,25,0,250,0,0,0,0
21,0,10,250,-3.78527674192101E-06,-2.23504121826185E-06,-1.2797486186596E-06,4.57837152131832E-06
22,0,10,275,-3.59535969951599E-06,-1.93235892843826E-06,8.20264275511278E-07,4.16334671615263E-06
23,25,10,275,-4.26146840267162E-06,2.23267456551002E-06,-1.14413888680724E-06,4.94509883164619E-06
24,25,10,250,-4.00484542011392E-06,1.8311577592491E-06,8.06255999395529E-07,4.47682636639248E-06
25,10,30,255,-1.45124504452572E-05,-1.87390233672709E-06,-1.455699732121E-06,1.47051620053549E-05
26,10,30,270,-1.47837195725349E-05,-1.08130274384173E-06,-9.36663798671492E-07,1.48527747944595E-05
27,20,30,255,-1.52335994315971E-05,2.45460018625043E-06,-7.21853032700306E-07,1.54469636342395E-05
28,20,30,270,-1.55833778975967E-05,3.32019989153663E-06,-1.20290891313934E-06,1.59784975474034E-05
29,10,80,255,-3.4370530153285E-05,-4.18873234981035E-08,-6.02652298992589E-06,3.48949004428132E-05
30,10,80,270,-3.61273868793218E-05,7.53373173813748E-07,-6.10898900339541E-06,3.66479931307408E-05
31,20,80,270,-3.6027367055144E-05,9.51855249238876E-07,-4.95508113577045E-06,3.63789779186229E-05
32,20,80,255,-3.42885465245679E-05,2.94554945644631E-07,-4.97856207436221E-06,3.46493472624195E-05
33,125,0,0,0,0,0,0
34,125,0,25,0,0,0,0
35,100,0,25,0,0,0,0
36,100,0,0,0,0,0,0
37,125,10,0,-2.79693023720776E-07,4.17077645513669E-07,3.43808900875591E-07,6.08593879550706E-07
38,125,10,25,6.1128235550833E-09,1.42102530925049E-08,1.13708588444255E-07,1.14756006338464E-07
39,100,10,25,-1.76351794520461E-07,-3.75427006597572E-07,2.51352469262564E-07,4.84998408778615E-07
40,100,10,0,1.08612256378279E-07,1.16365634340132E-07,1.03584882934438E-07,1.89914220277218E-07
41,115,30,5,-9.05706225702453E-07,8.69814578996713E-07,1.58637950743083E-06,2.02323530779489E-06
42,115,30,20,-1.11239133376112E-06,-2.10116376074403E-08,1.50095737319368E-06,1.86834927261641E-06
43,105,30,5,-8.64984216753852E-07,3.11476849475035E-07,1.28617155115991E-06,1.58096577508979E-06
44,105,30,20,-1.10336054084379E-06,-6.78164424047196E-07,1.26696504275819E-06,1.811770374166E-06
45,115,80,5,-4.76524923263626E-06,1.48392749029709E-06,5.93782843545712E-06,7.75676785617071E-06
46,115,80,20,-6.28630488385556E-06,6.58200076492932E-07,5.95341126607011E-06,8.68296966115004E-06
47,105,80,20,-6.22893632434122E-06,-6.09265813442142E-07,4.76785890096812E-06,7.86786699580437E-06
48,105,80,5,-4.69443294566767E-06,2.62776057515616E-07,4.79623694990838E-06,6.71644554935421E-06
49,125,0,250,0,0,0,0
50,125,0,275,0,0,0,0
51,100,0,275,0,0,0,0
52,100,0,250,0,0,0,0
53,125,10,250,-9.94525917515417E-07,9.80502805236285E-07,6.81169857970882E-07,1.55385325146687E-06
54,125,10,275,-8.05687927465876E-07,6.92648428885015E-07,-2.52025266557783E-07,1.0919760150684E-06
55,100,10,275,-8.74140849693768E-07,-9.4507649396445E-07,5.77091192736332E-07,1.41078915833704E-06
56,100,10,250,-6.38961203301603E-07,-5.56090837786319E-07,-2.32713502327212E-07,8.78444086644062E-07
57,115,30,255,-4.32710884415048E-06,2.02080681351986E-06,1.25870644114197E-06,4.93881291725713E-06
58,115,30,270,-4.55446910316786E-06,1.24058748057627E-06,9.84816251568588E-07,4.8220440850356E-06
59,105,30,255,-4.31109017785881E-06,-1.41633800274677E-06,8.23460321366237E-07,4.61189752276869E-06
60,105,30,270,-4.62153368247942E-06,-2.23960134214178E-06,1.07947013763146E-06,5.24782274167613E-06
61,115,80,255,-3.50099521477014E-05,2.68326892560869E-06,5.66206371657072E-06,3.55662149664817E-05
62,115,80,270,-3.65907900577976E-05,1.58713519277585E-06,5.99669164454272E-06,3.71128714309968E-05
