"Node","X","Y","Z","Displacement in X","Displacement in Y","Displacement in Z","Displacement Magnitude"
1,0,0,0,0,0,0,0
2,0,0,25,0,0,0,0
3,25,0,25,0,0,0,0
4,25,0,0,0,0,0,0
5,0,10,0,-2.70673312020563E-07,-3.36901370143524E-07,-2.7704148488438E-07,5.13340588100831E-07
6,0,10,25,-8.30506709610553E-08,-9.15392534648775E-08,-1.74615412577594E-08,1.24826897322192E-07
7,25,10,25,-1.94700031826634E-07,2.93834517067389E-07,-1.73075083656526E-07,3.92685383476686E-07
8,25,10,0,-1.12115701369475E-08,-4.16801845138189E-08,-6.01649527494039E-08,7.40456523057208E-08
9,10,30,5,-9.77623884012472E-07,-6.3040958917644E-07,-1.01123573311401E-06,1.54135084151658E-06
10,10,30,20,-1.18270225923951E-06,-1.11854588251058E-07,-9.62925998693279E-07,1.52922286207161E-06
11,20,30,5,-9.61150843149138E-07,-1.99366210944632E-07,-9.15386989223553E-07,1.34219639747411E-06
12,20,30,20,-1.17107222207311E-06,4.43787373421986E-07,-8.72824519495734E-07,1.52649271991484E-06
13,10,80,5,-3.26433731923697E-06,-6.65776305950709E-07,-3.58068746416167E-06,4.89085666722437E-06
14,10,80,20,-4.28235170054738E-06,-2.18200133412841E-07,-3.56074695688757E-06,5.57360442410354E-06
15,20,80,20,-4.24341843492461E-06,-2.48026909975881E-07,-2.87357840102335E-06,5.13084497804778E-06
16,20,80,5,-3.26233684002605E-06,-5.62506837612079E-07,-2.89992983280939E-06,4.40100541187685E-06
17,0,0,250,0,0,0,0
18,0,0,275,0,0,0,0
19,25,0,275,0,0,0,0
20,25,0,250,0,0,0,0
21,0,10,250,-3.57137253853009E-06,-1.94158050274288E-06,-1.02802670594917E-06,4.19300316786701E-06
22,0,10,275,-3.37380628866905E-06,-1.66221448542795E-06,7.41945566578517E-07,3.83353741246839E-06
23,25,10,275,-4.03928524430265E-06,1.85959425533865E-06,-9.07532463157033E-07,4.53845031382007E-06
24,25,10,250,-3.85299264582221E-06,1.54276464476098E-06,6.7858178925968E-07,4.20549025948216E-06
25,10,30,255,-1.33981297497811E-05,-8.81123087513682E-07,-1.16605387087643E-06,1.34776088501301E-05
26,10,30,270,-1.34898113222915E-05,-2.98576147321238E-07,-9.51000748097506E-07,1.3526587139765E-05
27,20,30,255,-1.40965329509419E-05,1.28815725791739E-06,-7.96122281689986E-07,1.41776373576671E-05
28,20,30,270,-1.41931576671692E-05,1.89807566613323E-06,-8.97626264817946E-07,1.4347618224318E-05
29,10,80,255,-2.12782360241519E-05,-1.17173520905206E-07,-3.66835855022666E-06,2.15924503562365E-05
30,10,80,270,-2.23748008827012E-05,3.233300319056E-07,-3.69354695536353E-06,2.26799150342662E-05
31,20,80,270,-2.23166222234906E-05,4.52668935582954E-07,-2.98989690993731E-06,2.25205688241503E-05
32,20,80,255,-2.12170342816228E-05,-7.26250212835625E-08,-2.97549797707757E-06,2.14247848603636E-05
33,125,0,0,0,0,0,0
34,125,0,25,0,0,0,0
35,100,0,25,0,0,0,0
36,100,0,0,0,0,0,0
37,125,10,0,-2.53699175465417E-07,3.25116013414364E-07,2.76434151802132E-07,4.96467052373917E-07
38,125,10,25,-5.174104293012E-08,5.85901853398195E-08,4.1484504558491E-08,8.84924260042315E-08
39,100,10,25,-1.66157023989777E-07,-2.74526867972101E-07,1.61987321255021E-07,3.59462167838408E-07
40,100,10,0,1.87925095377221E-08,6.8050022758495E-08,7.59374474109735E-08,1.03684424729327E-07
41,115,30,5,-8.3108543350594E-07,6.31410136265546E-07,1.09079674387351E-06,1.50970834746639E-06
42,115,30,20,-1.00673285189322E-06,1.14535767794708E-07,1.03488031188747E-06,1.44831168507255E-06
43,105,30,5,-8.03006590504563E-07,2.40093812823946E-07,9.37340251992285E-07,1.25740660542048E-06
44,105,30,20,-9.89182717712566E-07,-4.4262891434466E-07,9.09686339073728E-07,1.41489647689593E-06
45,115,80,5,-3.64503565461804E-06,1.06246725870548E-06,3.64690597195899E-06,5.26450802711593E-06
46,115,80,20,-4.67187566161051E-06,5.69998223443935E-07,3.60121282581843E-06,5.92621751112099E-06
47,105,80,20,-4.57001964961858E-06,1.63725190207991E-08,2.9505525453695E-06,5.43977094924643E-06
48,105,80,5,-3.60074668361434E-06,2.64338412331995E-07,2.9497497278751E-06,4.66221781268241E-06
49,125,0,250,0,0,0,0
50,125,0,275,0,0,0,0
51,100,0,275,0,0,0,0
52,100,0,250,0,0,0,0
53,125,10,250,-8.08801390509729E-07,1.06598924183351E-06,6.35084630584348E-07,1.48115672398288E-06
54,125,10,275,-6.27328447747129E-07,8.17724660967626E-07,-3.86609109680302E-07,1.10076391937383E-06
55,100,10,275,-6.08656962029288E-07,-9.60033146886873E-07,5.75569869461744E-07,1.27413014059806E-06
56,100,10,250,-4.22823489767615E-07,-6.46010749972399E-07,-3.40224577743057E-07,8.4371935848338E-07
57,115,30,255,-5.15155657869271E-06,1.60021392851167E-06,9.86020346616819E-07,5.48374469905531E-06
58,115,30,270,-5.28903925607887E-06,1.00447671039406E-06,9.07636290467625E-07,5.4595524862246E-06
59,105,30,255,-5.15491629545328E-06,-1.11445335488281E-06,8.41861005813679E-07,5.34077693284871E-06
60,105,30,270,-5.27592225533162E-06,-1.65342758935618E-06,8.35784301155957E-07,5.59175409291274E-06
61,115,80,255,-2.12443167882796E-05,1.41218097593563E-06,3.50398088913942E-06,2.1577607211668E-05
62,115,80,270,-2.21831042743213E-05,9.88349063098539E-07,3.57249226511272E-06,2.24906569512816E-05
