"Node","X","Y","Z","Displacement in X","Displacement in Y","Displacement in Z","Displacement Magnitude"
1,0,0,0,0,0,0,0
2,0,0,25,0,0,0,0
3,25,0,25,0,0,0,0
4,25,0,0,0,0,0,0
5,0,10,0,-2.88217972752698E-07,-3.68890810892823E-07,-2.81839411241461E-07,5.46427931119716E-07
6,0,10,25,-1.2977586544299E-07,-1.55145202912073E-07,3.03857930888203E-08,2.04536318681407E-07
7,25,10,25,-2.22890901633497E-07,3.28343367464983E-07,-1.80011049271377E-07,4.35767941511328E-07
8,25,10,0,-5.68137703383653E-08,3.49783099846088E-08,-4.68385502434468E-09,6.68821737634848E-08
9,10,30,5,-1.27934357765825E-06,-6.46203919668796E-07,-8.87273717706074E-07,1.6856909994488E-06
10,10,30,20,-1.47543068957333E-06,-1.86405213599867E-07,-8.40701643222248E-07,1.7083389231381E-06
11,20,30,5,-1.26051177595505E-06,-4.15928153424806E-08,-7.79307062390177E-07,1.48254490559331E-06
12,20,30,20,-1.46784461811111E-06,5.25568033401047E-07,-7.46308367806615E-07,1.72851547881671E-06
13,10,80,5,-4.60990320670985E-06,-6.54245649130358E-07,-3.21611827743266E-06,5.65885692689576E-06
14,10,80,20,-5.65490157434909E-06,-2.2743263884393E-07,-3.2035269613952E-06,6.5032470669023E-06
15,20,80,20,-5.60706174477256E-06,-8.98785922855406E-08,-2.50787221665083E-06,6.1430157598766E-06
16,20,80,5,-4.60053400238131E-06,-4.41254764370631E-07,-2.52776172387057E-06,5.26775077303506E-06
17,0,0,250,0,0,0,0
18,0,0,275,0,0,0,0
19,25,0,275,0,0,0,0
20,25,0,250,0,0,0,0
21,0,10,250,-3.59583733229654E-06,-1.9760915806911E-06,-1.04685766834709E-06,4.23448875702756E-06
22,0,10,275,-3.42460354837291E-06,-1.7288450136777E-06,7.85548357725252E-07,3.91585249558399E-06
23,25,10,275,-4.05579343376265E-06,1.89234365444985E-06,-9.1767681893876E-07,4.56864921261267E-06
24,25,10,250,-3.88696346353122E-06,1.61454398990292E-06,7.18724501801915E-07,4.26987144673568E-06
25,10,30,255,-1.3696662489593E-05,-9.00281532694241E-07,-1.04943195777026E-06,1.37662768251232E-05
26,10,30,270,-1.37918681757706E-05,-3.92250538520426E-07,-8.3296193853586E-07,1.38225653861305E-05
27,20,30,255,-1.44025362230734E-05,1.41981216601449E-06,-6.80970912162338E-07,1.44883621443873E-05
28,20,30,270,-1.44966897950641E-05,1.96398316060469E-06,-7.87710612209034E-07,1.46503151119026E-05
29,10,80,255,-2.25713435486191E-05,-1.24847376322518E-07,-3.26894124048196E-06,2.28071724089351E-05
30,10,80,270,-2.36295229332722E-05,2.76824229574318E-07,-3.29150735982236E-06,2.38592750604011E-05
31,20,80,270,-2.35633268398894E-05,5.27986133322538E-07,-2.59010728866389E-06,2.37111323408905E-05
32,20,80,255,-2.25023949908903E-05,7.28055838708186E-08,-2.58289089026325E-06,2.26502628313689E-05
33,125,0,0,0,0,0,0
34,125,0,25,0,0,0,0
35,100,0,25,0,0,0,0
36,100,0,0,0,0,0,0
37,125,10,0,-2.95808581912525E-07,2.24449994993691E-07,2.76067760968231E-07,4.6270284852352E-07
38,125,10,25,-1.1272708152065E-07,8.16636799788675E-08,-8.00233159789106E-09,1.39428794898531E-07
39,100,10,25,-3.50840530392794E-08,-1.97590601775775E-07,1.79297545378571E-07,2.69110658403855E-07
40,100,10,0,1.80636692844517E-07,8.24513793371217E-08,1.07782950636406E-07,2.25931425889114E-07
41,115,30,5,-8.4729987029858E-07,1.06832866599492E-06,9.53160893837868E-07,1.66365828773107E-06
42,115,30,20,-9.74049389195286E-07,3.30139314872357E-07,9.45998506666869E-07,1.39738232221252E-06
43,105,30,5,-9.5517085455074E-07,4.69590591081047E-07,8.94274827488054E-07,1.39017774104387E-06
44,105,30,20,-1.04185399746907E-06,-3.03419149080356E-07,8.867320564801E-07,1.40136243422619E-06
45,115,80,5,-5.03045940620634E-06,1.77232173024015E-06,4.05289974224813E-06,6.69870453697476E-06
46,115,80,20,-5.91473517742651E-06,1.26172403749125E-06,3.97883783545312E-06,7.23928106145238E-06
47,105,80,20,-5.83838921360548E-06,-2.16040095076466E-07,3.37327081238136E-06,6.74628919524575E-06
48,105,80,5,-4.94244921971071E-06,2.0855097195273E-07,3.363553317953E-06,5.98203884307299E-06
49,125,0,250,0,0,0,0
50,125,0,275,0,0,0,0
51,100,0,275,0,0,0,0
52,100,0,250,0,0,0,0
53,125,10,250,-7.96728929877516E-07,1.07475037973039E-06,6.62149545266581E-07,1.49275161588629E-06
54,125,10,275,-6.10756840554261E-07,8.26095056847761E-07,-3.87389967629676E-07,1.0979653675104E-06
55,100,10,275,-5.13808368692678E-07,-9.77455982795311E-07,5.72868734290571E-07,1.24402484893537E-06
56,100,10,250,-3.21667346570605E-07,-6.38959991714777E-07,-3.22438299312288E-07,7.84669490757302E-07
57,115,30,255,-5.07844663500941E-06,1.69661308533066E-06,1.00729072525566E-06,5.44827961756183E-06
58,115,30,270,-5.26222325087897E-06,1.07670603612918E-06,8.99465975719857E-07,5.44603786911236E-06
59,105,30,255,-5.08874186859055E-06,-1.10849733122209E-06,8.56492746439385E-07,5.27803372129965E-06
60,105,30,270,-5.27422288400045E-06,-1.74626503065392E-06,8.98920569658899E-07,5.62804822100474E-06
61,115,80,255,-2.24393014433807E-05,1.93458383137597E-06,3.89324472951076E-06,2.28565574483864E-05
62,115,80,270,-2.34391422694713E-05,1.25623176543343E-06,3.95314308834354E-06,2.38033369268664E-05
