"Node","X","Y","Z","Displacement in X","Displacement in Y","Displacement in Z","Displacement Magnitude"
1,0,0,0,0,0,0,0
2,0,0,25,0,0,0,0
3,25,0,25,0,0,0,0
4,25,0,0,0,0,0,0
5,0,10,0,-2.88058879699095E-07,-3.6862371254685E-07,-2.81854095398465E-07,5.46171301624507E-07
6,0,10,25,-1.28880444343026E-07,-1.54010381584183E-07,2.96582121340596E-08,2.02999941174254E-07
7,25,10,25,-2.22722316212489E-07,3.2822533464701E-07,-1.80043787986726E-07,4.35606320013618E-07
8,25,10,0,-5.61489502953389E-08,3.36813457369994E-08,-5.62655597076243E-09,6.57175456177104E-08
9,10,30,5,-1.27519347828936E-06,-6.46438315794403E-07,-8.90488015492805E-07,1.6843306709002E-06
10,10,30,20,-1.47143763073603E-06,-1.84467253337529E-07,-8.43813323173126E-07,1.70621739326043E-06
11,20,30,5,-1.25626872549294E-06,-4.4032169045468E-08,-7.82720661110904E-07,1.48081112093758E-06
12,20,30,20,-1.46385370216531E-06,5.2512801811642E-07,-7.49556552033511E-07,1.72640149485869E-06
13,10,80,5,-4.58911617533815E-06,-6.5437178437829E-07,-3.22834827447892E-06,5.64893107448407E-06
14,10,80,20,-5.63509816268602E-06,-2.25877162957629E-07,-3.21552998663837E-06,6.49191688877974E-06
15,20,80,20,-5.58734704623342E-06,-9.00869327130999E-08,-2.51963247173664E-06,6.12985403277506E-06
16,20,80,5,-4.57967571549579E-06,-4.43585008055789E-07,-2.5396411571051E-06,5.25547091375605E-06
17,0,0,250,0,0,0,0
18,0,0,275,0,0,0,0
19,25,0,275,0,0,0,0
20,25,0,250,0,0,0,0
21,0,10,250,-3.59596702304345E-06,-1.97619502038835E-06,-1.04705462935166E-06,4.23469585522626E-06
22,0,10,275,-3.42390653886906E-06,-1.72797340524963E-06,7.84821301579972E-07,3.91471232041053E-06
23,25,10,275,-4.05592150120252E-06,1.89269302551729E-06,-9.18105387418057E-07,4.56899372019319E-06
24,25,10,250,-3.88652853255467E-06,1.6136699033966E-06,7.18128260192247E-07,4.26904471627744E-06
25,10,30,255,-1.36946385848022E-05,-9.00682454058286E-07,-1.05299836960397E-06,1.37645617590169E-05
26,10,30,270,-1.37899528168417E-05,-3.90552681190733E-07,-8.36647168869937E-07,1.382082879471E-05
27,20,30,255,-1.44005071009801E-05,1.41834321358494E-06,-6.84481802728756E-07,1.44863666105469E-05
28,20,30,270,-1.44947970715983E-05,1.96476122642885E-06,-7.91277087844617E-07,1.46487387939522E-05
29,10,80,255,-2.25627077650363E-05,-1.24777295530379E-07,-3.28130816405819E-06,2.28004020651265E-05
30,10,80,270,-2.36219830939341E-05,2.78392011844563E-07,-3.30405565868485E-06,2.38535609752098E-05
31,20,80,270,-2.35558288513001E-05,5.28940192875388E-07,-2.60226276099762E-06,2.37050336864696E-05
32,20,80,255,-2.24938194324966E-05,7.21799960671553E-08,-2.59489132566802E-06,2.26431133814593E-05
33,125,0,0,0,0,0,0
34,125,0,25,0,0,0,0
35,100,0,25,0,0,0,0
36,100,0,0,0,0,0,0
37,125,10,0,-2.96236872050082E-07,2.28113336521421E-07,2.77485925331109E-07,4.65607578780472E-07
38,125,10,25,-1.15099930187168E-07,8.13860706661661E-08,-6.25441408279523E-09,1.4110564879936E-07
39,100,10,25,-4.1978697855483E-08,-2.02259526230971E-07,1.83875481326121E-07,2.76552562197011E-07
40,100,10,0,1.83419676008978E-07,8.33581052110839E-08,1.09693197680605E-07,2.29399103897589E-07
41,115,30,5,-8.48835762798669E-07,1.04020511997719E-06,9.79627649829259E-07,1.66199253191546E-06
42,115,30,20,-9.92688258789122E-07,3.14672496390688E-07,9.50087019351002E-07,1.40965034794512E-06
43,105,30,5,-9.33715314992075E-07,4.6179053959956E-07,9.07568779591528E-07,1.38157731654933E-06
44,105,30,20,-1.0605041840417E-06,-3.10363761482209E-07,8.99665124241908E-07,1.4249182869865E-06
45,115,80,5,-5.01241600872289E-06,1.72686074167591E-06,4.04119116382258E-06,6.66615243511583E-06
46,115,80,20,-5.89250185613077E-06,1.22944150939451E-06,3.96636391831832E-06,7.20868554467903E-06
47,105,80,20,-5.81703449207599E-06,-2.32057623673039E-07,3.36273492428493E-06,6.723074236814E-06
48,105,80,5,-4.92409163696874E-06,1.93454565187338E-07,3.35294782757021E-06,5.96039950443467E-06
49,125,0,250,0,0,0,0
50,125,0,275,0,0,0,0
51,100,0,275,0,0,0,0
52,100,0,250,0,0,0,0
53,125,10,250,-7.96447943496826E-07,1.074233887393E-06,6.6179317491767E-07,1.49207170668551E-06
54,125,10,275,-6.10904641833737E-07,8.26063245365626E-07,-3.87484720742866E-07,1.09805709121483E-06
55,100,10,275,-5.13789940612921E-07,-9.76888234001448E-07,5.72458229307355E-07,1.24338214122096E-06
56,100,10,250,-3.21835678418966E-07,-6.39070864758977E-07,-3.22601696037385E-07,7.84895934741275E-07
57,115,30,255,-5.07723615512141E-06,1.69564304579936E-06,1.00547166422039E-06,5.44651315808471E-06
58,115,30,270,-5.2607658148643E-06,1.07676855936301E-06,8.97823997467996E-07,5.44437098476095E-06
59,105,30,255,-5.08754465636672E-06,-1.10879998607657E-06,8.5475689578351E-07,5.27666157627514E-06
60,105,30,270,-5.27272142964407E-06,-1.74508309181206E-06,8.97079186056255E-07,5.62598056680002E-06
61,115,80,255,-2.24321783425952E-05,1.93198544041463E-06,3.88546784872116E-06,2.28480207751004E-05
62,115,80,270,-2.34310253283023E-05,1.25592872459743E-06,3.94573784337377E-06,2.37940991009419E-05
