"Node","X","Y","Z","Displacement in X","Displacement in Y","Displacement in Z","Displacement Magnitude"
1,0,0,0,0,0,0,0
2,0,0,25,0,0,0,0
3,25,0,25,0,0,0,0
4,25,0,0,0,0,0,0
5,0,10,0,-2.8816352069939E-07,-3.6879690441157E-07,-2.81844433898916E-07,5.46338408209806E-07
6,0,10,25,-1.29572872331402E-07,-1.54870678697608E-07,3.02098228581801E-08,2.0417318570662E-07
7,25,10,25,-2.22842254220191E-07,3.28293412047616E-07,-1.80006653808505E-07,4.35703603468157E-07
8,25,10,0,-5.6655792461462E-08,3.46720197634929E-08,-4.9372581270926E-09,6.66063382249005E-08
9,10,30,5,-1.27827047026174E-06,-6.46203023842666E-07,-8.87933862440125E-07,1.68522410593796E-06
10,10,30,20,-1.47441678202349E-06,-1.85921627311342E-07,-8.41354321235966E-07,1.70773206109068E-06
11,20,30,5,-1.25942190427886E-06,-4.21814033831664E-08,-7.80048688124771E-07,1.48202522232719E-06
12,20,30,20,-1.46683533847401E-06,5.25417348775518E-07,-7.47008916037264E-07,1.72791539759029E-06
13,10,80,5,-4.60417203039651E-06,-6.54120351674479E-07,-3.218836723371E-06,5.65572129543898E-06
14,10,80,20,-5.64945956809309E-06,-2.26969112843579E-07,-3.20617062626886E-06,6.49980295658667E-06
15,20,80,20,-5.60164318602538E-06,-9.00129609624436E-08,-2.51046102355137E-06,6.13913049767281E-06
16,20,80,5,-4.59478189115034E-06,-4.41754167910447E-07,-2.53036194221217E-06,5.26401927529764E-06
17,0,0,250,0,0,0,0
18,0,0,275,0,0,0,0
19,25,0,275,0,0,0,0
20,25,0,250,0,0,0,0
21,0,10,250,-3.59586497041677E-06,-1.97611467122672E-06,-1.04690450486615E-06,4.23453458146429E-06
22,0,10,275,-3.42444983654243E-06,-1.72864484001798E-06,7.85376724570591E-07,3.91559526322799E-06
23,25,10,275,-4.05582058915849E-06,1.89242317916996E-06,-9.17771179742245E-07,4.56872521376227E-06
24,25,10,250,-3.88686730849421E-06,1.61434816121314E-06,7.18593748003948E-07,4.26968786143948E-06
25,10,30,255,-1.36961984785162E-05,-9.0036173612465E-07,-1.05025237737087E-06,1.37658829747663E-05
26,10,30,270,-1.37914404588351E-05,-3.91864258168219E-07,-8.3380327681793E-07,1.38221783894889E-05
27,20,30,255,-1.44020694744051E-05,1.41948357801109E-06,-6.81744071488526E-07,1.44879023241062E-05
28,20,30,270,-1.44962701520837E-05,1.96416545204805E-06,-7.8850276354676E-07,1.46499669232846E-05
29,10,80,255,-2.25693170682712E-05,-1.24792448827404E-07,-3.27171832015254E-06,2.28055648219873E-05
30,10,80,270,-2.36278272081428E-05,2.77184753497633E-07,-3.29433178844197E-06,2.38579896868484E-05
31,20,80,270,-2.35616409336704E-05,5.2820148362268E-07,-2.59275596775405E-06,2.3709751238738E-05
32,20,80,255,-2.25003827827847E-05,7.26962715297667E-08,-2.58551781346869E-06,2.26485631439059E-05
33,125,0,0,0,0,0,0
34,125,0,25,0,0,0,0
35,100,0,25,0,0,0,0
36,100,0,0,0,0,0,0
37,125,10,0,-2.9535643521234E-07,2.24869212320775E-07,2.76033444164174E-07,4.62597069562965E-07
38,125,10,25,-1.13770275699175E-07,8.22217859291767E-08,-8.2517180950105E-09,1.40613614438891E-07
39,100,10,25,-3.71625597733934E-08,-1.99388645556552E-07,1.80984584429235E-07,2.71831395587063E-07
40,100,10,0,1.82077279110419E-07,8.3178454035433E-08,1.08639632590606E-07,2.27757240397314E-07
41,115,30,5,-8.42959250184325E-07,1.05954433322616E-06,9.55451395011716E-07,1.65713664487055E-06
42,115,30,20,-9.80949514775199E-07,3.25290969971463E-07,9.44464840673928E-07,1.40003214282812E-06
43,105,30,5,-9.45096732611264E-07,4.66675313165719E-07,8.99716754311698E-07,1.38581525460647E-06
44,105,30,20,-1.0488958578306E-06,-3.05598273403923E-07,8.91936451098354E-07,1.41036288170087E-06
45,115,80,5,-5.02527909714264E-06,1.75829247235688E-06,4.05038147033084E-06,6.68958985870771E-06
46,115,80,20,-5.90862427800413E-06,1.25221720641111E-06,3.97629623019577E-06,7.23123920921725E-06
47,105,80,20,-5.8325310592266E-06,-2.21417182702967E-07,3.3711694625099E-06,6.74034329026337E-06
48,105,80,5,-4.93729240383633E-06,2.0270907449485E-07,3.3614113627341E-06,5.9763729468115E-06
49,125,0,250,0,0,0,0
50,125,0,275,0,0,0,0
51,100,0,275,0,0,0,0
52,100,0,250,0,0,0,0
53,125,10,250,-7.96678535030605E-07,1.07464694114823E-06,6.62082082705244E-07,1.49262032028814E-06
54,125,10,275,-6.10791030578813E-07,8.26072968323067E-07,-3.87407747443666E-07,1.09797404104514E-06
55,100,10,275,-5.13795751518083E-07,-9.77336343114266E-07,5.72784279806378E-07,1.24388674446E-06
56,100,10,250,-3.21705837878727E-07,-6.38969103192889E-07,-3.22472953247919E-07,7.84706930348403E-07
57,115,30,255,-5.07817110275091E-06,1.6964295495658E-06,1.00695911157089E-06,5.44790433266133E-06
58,115,30,270,-5.26188879535318E-06,1.07669974062135E-06,8.99171324027727E-07,5.4456647983576E-06
59,105,30,255,-5.08845903838184E-06,-1.10851977996002E-06,8.56133917688047E-07,5.27770753006155E-06
60,105,30,270,-5.27389266505674E-06,-1.74602679063065E-06,8.98535310335658E-07,5.62760331758194E-06
61,115,80,255,-2.24373695975133E-05,1.93411117298511E-06,3.89197499665251E-06,2.28544046052276E-05
62,115,80,270,-2.34372710428588E-05,1.25608571226371E-06,3.95198816818847E-06,2.38012948331489E-05
