"Node","X","Y","Z","Displacement in X","Displacement in Y","Displacement in Z","Displacement Magnitude"
1,0,0,0,0,0,0,0
2,0,0,25,0,0,0,0
3,25,0,25,0,0,0,0
4,25,0,0,0,0,0,0
5,0,10,0,-2.88203081732741E-07,-3.68864115647011E-07,-2.81837046685766E-07,5.46400835483307E-07
6,0,10,25,-1.29726578997269E-07,-1.55076961087752E-07,3.0343789588318E-08,2.04447046261683E-07
7,25,10,25,-2.2287929861539E-07,3.28327761242359E-07,-1.80006550116148E-07,4.35748389140367E-07
8,25,10,0,-5.67760199437655E-08,3.49043699818045E-08,-4.74048378624586E-09,6.68154448537852E-08
9,10,30,5,-1.27907456758881E-06,-6.46193428866264E-07,-8.87425879181855E-07,1.68556292911423E-06
10,10,30,20,-1.47517392867518E-06,-1.86284477764665E-07,-8.40852850918135E-07,1.70817842844247E-06
11,20,30,5,-1.2602391673925E-06,-4.17348258785696E-08,-7.79476250087595E-07,1.48240607768988E-06
12,20,30,20,-1.46758880362317E-06,5.25525188491588E-07,-7.46466596306303E-07,1.72835355169604E-06
13,10,80,5,-4.60841061658779E-06,-6.54197101283025E-07,-3.21674903276339E-06,5.65799404366869E-06
14,10,80,20,-5.65348548903955E-06,-2.27302128285976E-07,-3.20414403952488E-06,6.50231523830758E-06
15,20,80,20,-5.60565058167263E-06,-8.99132688869753E-08,-2.50846896646009E-06,6.14197194681171E-06
16,20,80,5,-4.59903769371193E-06,-4.41378258354307E-07,-2.52836498239412E-06,5.26674396181624E-06
17,0,0,250,0,0,0,0
18,0,0,275,0,0,0,0
19,25,0,275,0,0,0,0
20,25,0,250,0,0,0,0
21,0,10,250,-3.59584332579628E-06,-1.97609549315355E-06,-1.04686753641503E-06,4.23449811200042E-06
22,0,10,275,-3.42456753385197E-06,-1.72879909261088E-06,7.85510074780939E-07,3.91579304536227E-06
23,25,10,275,-4.05580082352907E-06,1.89236076586499E-06,-9.17698579517879E-07,4.56866723138963E-06
24,25,10,250,-3.88694101606238E-06,1.61449827056225E-06,7.18692744708291E-07,4.26982837937228E-06
25,10,30,255,-1.36965506516775E-05,-9.0030038183653E-07,-1.04961633363992E-06,1.37661808421706E-05
26,10,30,270,-1.37917647901154E-05,-3.92161639784733E-07,-8.33153123004233E-07,1.3822471229992E-05
27,20,30,255,-1.44024241739638E-05,1.41973705368667E-06,-6.81150621327428E-07,1.4488251846145E-05
28,20,30,270,-1.44965874485079E-05,1.96402154947272E-06,-7.8789419484852E-07,1.46502288569601E-05
29,10,80,255,-2.25708665421375E-05,-1.24835719195028E-07,-3.26957217556394E-06,2.28067907130967E-05
30,10,80,270,-2.36291255651515E-05,2.76904366639367E-07,-3.29214547615769E-06,2.38589704899047E-05
31,20,80,270,-2.35629323874993E-05,5.28032645884852E-07,-2.59071416700162E-06,2.37108076848531E-05
32,20,80,255,-2.25019212418199E-05,7.27756665805349E-08,-2.58349410438042E-06,2.2649860875027E-05
33,125,0,0,0,0,0,0
34,125,0,25,0,0,0,0
35,100,0,25,0,0,0,0
36,100,0,0,0,0,0,0
37,125,10,0,-2.95724433961577E-07,2.24610708727818E-07,2.76096866253925E-07,4.62744412037947E-07
38,125,10,25,-1.1287697509185E-07,8.17502977719767E-08,-8.0334540183427E-09,1.39602503828398E-07
39,100,10,25,-3.54239532811126E-08,-1.9797132333147E-07,1.79630162568592E-07,2.69656256430469E-07
40,100,10,0,1.80918250255415E-07,8.25600893374453E-08,1.07894422069296E-07,2.26249393237982E-07
41,115,30,5,-8.44020697929925E-07,1.06636904494894E-06,9.51923923279011E-07,1.66002199812844E-06
42,115,30,20,-9.75385417103264E-07,3.29062542046293E-07,9.45870166103911E-07,1.39797326140421E-06
43,105,30,5,-9.52194991373473E-07,4.6881578744024E-07,8.95360412215467E-07,1.38857258071467E-06
44,105,30,20,-1.04320605181629E-06,-3.04003624831113E-07,8.87801324656715E-07,1.40317078879187E-06
45,115,80,5,-5.02897623132749E-06,1.76881563808877E-06,4.05237305390574E-06,6.69634512736803E-06
46,115,80,20,-5.91317303975897E-06,1.2593863666105E-06,3.97833055085528E-06,7.23731879845052E-06
47,105,80,20,-5.83687500636362E-06,-2.17409336847936E-07,3.37282285434567E-06,6.74479878620981E-06
48,105,80,5,-4.94104786827923E-06,2.06989289083736E-07,3.3630920644276E-06,5.98056743430237E-06
49,125,0,250,0,0,0,0
50,125,0,275,0,0,0,0
51,100,0,275,0,0,0,0
52,100,0,250,0,0,0,0
53,125,10,250,-7.96725353826364E-07,1.07472970482185E-06,6.62135821381429E-07,1.49272873416863E-06
54,125,10,275,-6.10765266209696E-07,8.26089125146726E-07,-3.87390815148625E-07,1.09796589052456E-06
55,100,10,275,-5.13812491043903E-07,-9.7742962557312E-07,5.72853462404527E-07,1.24399880960136E-06
56,100,10,250,-3.2167180178581E-07,-6.38961495450303E-07,-3.22442257939392E-07,7.84674168325472E-07
57,115,30,255,-5.07839601843467E-06,1.69657615271747E-06,1.00723135861876E-06,5.44820996032713E-06
58,115,30,270,-5.26214394465267E-06,1.0767032243078E-06,8.99417125491713E-07,5.44595261576039E-06
59,105,30,255,-5.08869623891856E-06,-1.1085010640145E-06,8.5643575309487E-07,5.277981263711E-06
60,105,30,270,-5.27413995885843E-06,-1.74620778798652E-06,8.98856010441426E-07,5.62794243680216E-06
61,115,80,255,-2.24389364450614E-05,1.93444812238225E-06,3.8928744785749E-06,2.2856124562787E-05
62,115,80,270,-2.34386761756825E-05,1.25620738018204E-06,3.95283823822744E-06,2.3802826050453E-05
