"Node","X","Y","Z","Displacement in X","Displacement in Y","Displacement in Z","Displacement Magnitude"
1,0,0,0,0,0,0,0
2,0,0,25,0,0,0,0
3,25,0,25,0,0,0,0
4,25,0,0,0,0,0,0
5,0,10,0,-2.88357739817027E-07,-3.68734433643514E-07,-2.83037580553611E-07,5.47015119235683E-07
6,0,10,25,-1.26136190942936E-07,-1.5052735568809E-07,2.72838712541957E-08,1.9827564930333E-07
7,25,10,25,-2.22424296801104E-07,3.285802341838E-07,-1.80820514216165E-07,4.36043113080742E-07
8,25,10,0,-5.38329210381251E-08,2.94153342925769E-08,-9.49716315177907E-09,6.2076093522165E-08
9,10,30,5,-1.26461158536096E-06,-6.49220804143975E-07,-9.03377195654177E-07,1.68428633907376E-06
10,10,30,20,-1.46095591330119E-06,-1.78715153999896E-07,-8.565346139742E-07,1.70293359583245E-06
11,20,30,5,-1.24553823410888E-06,-5.25801013841013E-08,-7.963036618853E-07,1.47926660261786E-06
12,20,30,20,-1.45334677389745E-06,5.25137882100349E-07,-7.62943432438622E-07,1.7233889060558E-06
13,10,80,5,-4.53903240146535E-06,-6.57431988112158E-07,-3.27651548250958E-06,5.63654022141867E-06
14,10,80,20,-5.58573060863764E-06,-2.22358225923959E-07,-3.26282442690954E-06,6.47270058428049E-06
15,20,80,20,-5.53821202040898E-06,-9.12615202345755E-08,-2.56683511351295E-06,6.10481478408977E-06
16,20,80,5,-4.52954534449618E-06,-4.51044713421169E-07,-2.58721254185077E-06,5.23582764212709E-06
17,0,0,250,0,0,0,0
18,0,0,275,0,0,0,0
19,25,0,275,0,0,0,0
20,25,0,250,0,0,0,0
21,0,10,250,-3.59657764133772E-06,-1.9767791356283E-06,-1.04791170787152E-06,4.23569893036792E-06
22,0,10,275,-3.42130867387419E-06,-1.72473875447078E-06,7.82027289085912E-07,3.91045310596806E-06
23,25,10,275,-4.05639325108038E-06,1.89420037357466E-06,-9.19875936741156E-07,4.57039309049629E-06
24,25,10,250,-3.88488774160716E-06,1.61038069077296E-06,7.15935929502499E-07,4.26593987173479E-06
25,10,30,255,-1.36876920527688E-05,-9.02510010095038E-07,-1.06683886467315E-06,1.37588365501204E-05
26,10,30,270,-1.37833812431239E-05,-3.84187628568289E-07,-8.50846209086019E-07,1.38149606549841E-05
27,20,30,255,-1.43935071310342E-05,1.41269605250602E-06,-6.98121011116249E-07,1.44795072642014E-05
28,20,30,270,-1.44883448369421E-05,1.96813714497307E-06,-8.0516235130073E-07,1.46435646735186E-05
29,10,80,255,-2.2533873572454E-05,-1.25470520907546E-07,-3.33030749392993E-06,2.27789848113361E-05
30,10,80,270,-2.35958837790566E-05,2.84424569693492E-07,-3.35398889450312E-06,2.38347618019363E-05
31,20,80,270,-2.35298581560539E-05,5.32789704432941E-07,-2.65100395991738E-06,2.36847189493282E-05
32,20,80,255,-2.24651560029102E-05,6.996581152895E-08,-2.64299250618999E-06,2.26202020070036E-05
33,125,0,0,0,0,0,0
34,125,0,25,0,0,0,0
35,100,0,25,0,0,0,0
36,100,0,0,0,0,0,0
37,125,10,0,-3.12211363288153E-07,2.50941906142113E-07,2.95194235045178E-07,4.97581563191797E-07
38,125,10,25,-1.10439132995697E-07,6.76670466575176E-08,1.12505744757501E-08,1.30008487131519E-07
39,100,10,25,-4.9936503477028E-08,-2.03218780438189E-07,1.86048627792372E-07,2.80010033759008E-07
40,100,10,0,1.82461558364816E-07,7.52548027676996E-08,1.06860685832397E-07,2.2444311483557E-07
41,115,30,5,-8.62967127055506E-07,9.7618603395981E-07,1.05176006406391E-06,1.67447026478118E-06
42,115,30,20,-9.95833545480127E-07,2.82131149473118E-07,9.87806939520487E-07,1.43074979838243E-06
43,105,30,5,-9.11008697979418E-07,4.46468683324297E-07,9.01997484640425E-07,1.35752369971251E-06
44,105,30,20,-1.06351759318196E-06,-3.24089501038501E-07,8.94293604533173E-07,1.42683731616463E-06
45,115,80,5,-4.9752502331774E-06,1.65868430276758E-06,3.98387345152476E-06,6.58601519712361E-06
46,115,80,20,-5.83892188321424E-06,1.16562512165614E-06,3.91107994189698E-06,7.12377968457917E-06
47,105,80,20,-5.76531378406973E-06,-2.62448080173977E-07,3.31542329353462E-06,6.65580600970937E-06
48,105,80,5,-4.88147487874811E-06,1.75438770998607E-07,3.30721645673826E-06,5.89891993893278E-06
49,125,0,250,0,0,0,0
50,125,0,275,0,0,0,0
51,100,0,275,0,0,0,0
52,100,0,250,0,0,0,0
53,125,10,250,-7.94657001251939E-07,1.07196815607698E-06,6.60375997796358E-07,1.48885591503924E-06
54,125,10,275,-6.11381328497466E-07,8.26273466758271E-07,-3.88088515529145E-07,1.09869361816189E-06
55,100,10,275,-5.13178307091775E-07,-9.7468398414509E-07,5.70730417233813E-07,1.24060229444186E-06
56,100,10,250,-3.22550655889843E-07,-6.39795625295073E-07,-3.23275100446324E-07,7.86056078362265E-07
57,115,30,255,-5.0718572231779E-06,1.69099132718998E-06,9.96902716681388E-07,5.43847427018464E-06
58,115,30,270,-5.25618361558934E-06,1.07765963393623E-06,8.89811960057357E-07,5.43880334372061E-06
59,105,30,255,-5.08213739704729E-06,-1.110879507838E-06,8.46457352424725E-07,5.27054682674149E-06
60,105,30,270,-5.26810740973755E-06,-1.74045258908698E-06,8.88557672686347E-07,5.61886693498618E-06
61,115,80,255,-2.24035741782365E-05,1.92184438777719E-06,3.84933892260844E-06,2.28129575450375E-05
62,115,80,270,-2.34052497722164E-05,1.25679828663448E-06,3.90834436044327E-06,2.37625843391019E-05
