"Node","X","Y","Z","Displacement in X","Displacement in Y","Displacement in Z","Displacement Magnitude"
1,0,0,0,0,0,0,0
2,0,0,25,0,0,0,0
3,25,0,25,0,0,0,0
4,25,0,0,0,0,0,0
5,0,10,0,-3.37560456782185E-07,-4.60666533673388E-07,-3.66421897717858E-07,6.78546773890208E-07
6,0,10,25,-5.69921951448238E-08,-6.83502625857541E-08,-7.38067680796019E-08,1.15617073641065E-07
7,25,10,25,-2.41245774337124E-07,4.20939522844598E-07,-2.66539290763972E-07,5.53563726276495E-07
8,25,10,0,3.7387814141128E-08,-6.36286680183405E-08,-7.10909443441581E-08,1.0247135408388E-07
9,10,30,5,-1.25246982325192E-06,-8.68014628820863E-07,-1.53167942023887E-06,2.16059526528849E-06
10,10,30,20,-1.46211834555921E-06,6.94030322663267E-09,-1.46832611271591E-06,2.07215342036083E-06
11,20,30,5,-1.22831487075748E-06,-2.61159816510153E-07,-1.27211585900073E-06,1.78752360269864E-06
12,20,30,20,-1.47046614147706E-06,7.23851214851876E-07,-1.2255124788996E-06,2.04648774499424E-06
13,10,80,5,-4.41600926370426E-06,-9.68156940076454E-07,-5.91576301500294E-06,7.4454494644324E-06
14,10,80,20,-6.00555443569155E-06,-1.07310330801133E-07,-5.91147132534485E-06,8.4275555659708E-06
15,20,80,20,-5.98434482866473E-06,2.39970116818347E-07,-4.78680720516367E-06,7.66703931806397E-06
16,20,80,5,-4.39288052933751E-06,-6.75206623259507E-07,-4.81688573540546E-06,6.55405916337949E-06
17,0,0,250,0,0,0,0
18,0,0,275,0,0,0,0
19,25,0,275,0,0,0,0
20,25,0,250,0,0,0,0
21,0,10,250,-3.78214618933183E-06,-2.23156056361233E-06,-1.27765829817856E-06,4.57350009002423E-06
22,0,10,275,-3.59092266437626E-06,-1.92855993301419E-06,8.18150119226051E-07,4.15733551861627E-06
23,25,10,275,-4.25685082423991E-06,2.22827209396421E-06,-1.14319986091129E-06,4.93891500094497E-06
24,25,10,250,-4.00181615106828E-06,1.82696149158078E-06,8.02612955506497E-07,4.47174556018306E-06
25,10,30,255,-1.44935523739497E-05,-1.86659467632648E-06,-1.45570565742026E-06,1.46855818769009E-05
26,10,30,270,-1.4759981125964E-05,-1.07660409161793E-06,-9.37637189341362E-07,1.48288665348279E-05
27,20,30,255,-1.52147455681502E-05,2.44384156675602E-06,-7.26721503746014E-07,1.54268910818401E-05
28,20,30,270,-1.55591550298423E-05,3.30777777423592E-06,-1.20602273589849E-06,1.59525292629695E-05
29,10,80,255,-3.4212954832512E-05,-3.24105187556647E-08,-5.98853262221664E-06,3.473312326556E-05
30,10,80,270,-3.59304633423263E-05,7.46425022947609E-07,-6.06468824429726E-06,3.64463412403722E-05
31,20,80,270,-3.58361312357076E-05,9.33367845962079E-07,-4.92029016860317E-06,3.61843713890678E-05
32,20,80,255,-3.41333951647979E-05,2.94479441267261E-07,-4.95329059200192E-06,3.44921798572719E-05
33,125,0,0,0,0,0,0
34,125,0,25,0,0,0,0
35,100,0,25,0,0,0,0
36,100,0,0,0,0,0,0
37,125,10,0,-2.78989047685045E-07,4.15771203503488E-07,3.42575314553434E-07,6.06678191904351E-07
38,125,10,25,5.01036947791175E-09,1.52579387051057E-08,1.12361965858137E-07,1.13503831950023E-07
39,100,10,25,-1.75709492892304E-07,-3.73828316716195E-07,2.50067887695026E-07,4.8286166210167E-07
40,100,10,0,1.07637490115345E-07,1.1499269015531E-07,1.02619499745097E-07,1.8798912148159E-07
41,115,30,5,-9.05605809243515E-07,8.66747123997358E-07,1.57742705401525E-06,2.01485696004271E-06
42,115,30,20,-1.11143424838205E-06,-1.8240938960915E-08,1.49241972733619E-06,1.86089641379443E-06
43,105,30,5,-8.64988671933322E-07,3.08758335446822E-07,1.27839641221252E-06,1.5741138774049E-06
44,105,30,20,-1.10232351200197E-06,-6.74942112928617E-07,1.25933477526231E-06,1.80460191097701E-06
45,115,80,5,-4.76478432751021E-06,1.47998683344092E-06,5.89997006518909E-06,7.7267831265652E-06
46,115,80,20,-6.2778891419164E-06,6.59342989771109E-07,5.91466411845394E-06,8.65042639934464E-06
47,105,80,20,-6.22048500255992E-06,-6.04234176614206E-07,4.73756295884499E-06,7.84245085392836E-06
48,105,80,5,-4.69398776029732E-06,2.60328421241267E-07,4.76500274280654E-06,6.69376897716682E-06
49,125,0,250,0,0,0,0
50,125,0,275,0,0,0,0
51,100,0,275,0,0,0,0
52,100,0,250,0,0,0,0
53,125,10,250,-9.98623587524297E-07,9.81776289009043E-07,6.8216058060067E-07,1.55771525284492E-06
54,125,10,275,-8.08829686819554E-07,6.93149416097744E-07,-2.51453015435292E-07,1.09448170121239E-06
55,100,10,275,-8.77047067053435E-07,-9.45077988435139E-07,5.78744553308589E-07,1.41326898361069E-06
56,100,10,250,-6.42905841058126E-07,-5.56609737709068E-07,-2.31471389200678E-07,8.81317947506861E-07
57,115,30,255,-4.34000565848538E-06,2.01500935900863E-06,1.26213924940626E-06,4.94862681129515E-06
58,115,30,270,-4.56376886841697E-06,1.23945932380973E-06,9.88472633936932E-07,4.83128594141901E-06
59,105,30,255,-4.32481907454664E-06,-1.41168415903977E-06,8.27927305178573E-07,4.62410811023126E-06
60,105,30,270,-4.63106598578814E-06,-2.23338676523615E-06,1.08171394728622E-06,5.2540359412179E-06
61,115,80,255,-3.4801207957858E-05,2.62232837774807E-06,5.65639677140409E-06,3.53552755028492E-05
62,115,80,270,-3.63838037058279E-05,1.56697333085222E-06,5.95207589522426E-06,3.69007287866558E-05
